0027waa5j9jx8gzod85t7c3zq,9321803,6130205,2000-10-01,"Stapleton et al.",A,US,"cited by applicant",17
002846z1ulorl8hofkvddk2vh,7574616,6151269,2000-11-01,"Dosaka et al.",A,US,"cited by other",69
0028axcklekq9qfgyxcslwaut,D574621,D433576,2000-11-01,Hutton,S,US,"cited by other",105
0029bzoi6iwzmuxbslyvvawpx,7181252,6032038,2000-02-01,"Schroderus et al.",A,US,"cited by other",9
0029qh0qr4xnu5rc0nwvwmvrw,7280483,6163699,2000-12-01,"Naor et al.",A,US,"cited by other",81
0029z6kwt8kvd7p7qrl1yza4z,9119893,RE36974,2000-11-01,Bonutti,E,US,"cited by applicant",20
002afbfjjxokeoww1u7opvo3h,8005439,6028885,2000-02-01,"Minarik et al.",A,US,"cited by other",127
002b9t826zt0i7d5p3uq8s8e3,7783536,6064983,2000-05-01,Koehler,A,US,"cited by other",2
002c3h82q0cm39j9zeuhno0wt,D508950,D430210,2000-08-01,Shimizu,S,US,"cited by other",34
002cefmp1bryvnajpnfuidhnh,8937135,6046248,2000-04-01,"Warzelhan et al.",A,US,"cited by applicant",8
002cmboocl5nufpa3hgcuw657,6477523,6094657,2000-07-01,"Hailpern et al.",A,US,"cited by examiner",0
002cnekmm55y12tohpeeqjbcs,8784859,6099562,2000-08-01,"Ding et al.",A,US,"cited by applicant",2
002cui62hbgqlnivbas3kvise,7648727,6129761,2000-10-01,Hubbell,A,US,"cited by other",254
002cwhfzwk1n0idun0g03er2s,8920319,6164284,2000-12-01,"Schulman et al.",A,US,"cited by applicant",1069
002d5pm4z4hn08ujwo96z7hhc,7887958,6096449,2000-08-01,"Fuglevand et al.",A,US,"cited by other",103
002dp0clmm9ucbj9ii4xdmsqf,9572643,6019482,2000-02-01,Everett,A,US,"cited by applicant",410
002e2im3vw89ta468jc3sdcd7,7249100,6115611,2000-09-01,"Kimoto et al.",A,US,"cited by other",9
002e3lq4lyulj5o9pz0utn5v8,7880730,6111573,2000-08-01,"McComb et al.",A,US,"cited by other",67
002e8ftp6g5ij0o0z0kudprmo,6693350,6072240,2000-06-01,"Kimura et al.",A,US,"cited by other",17
002eyh9ilh5px4eh6swcvgday,6918960,6140230,2000-10-01,Li,A,US,"cited by other",9
002f2p7yfkpphhnd9q051bl5k,9421101,6076013,2000-06-01,"Brennan et al.",A,US,"cited by applicant",94
002fm3pytuwhds3nebbgknwbd,8408792,6126009,2000-10-01,"Shiffler et al.",A,US,"cited by applicant",238
002fxbazue6vzm78fh9x1er72,7803453,6114050,2000-09-01,"Westre et al.",A,US,"cited by examiner",4
002gnd7ngmt5kuntlwbcay732,9345492,6165142,2000-12-01,Bar,A,US,"cited by applicant",31
002hoton8bw3u2puwq36izbe0,D472211,6028384,2000-02-01,"Billman et al.",A,US,"cited by examiner",10
002itdpiwr7zxuzps8o2el7hz,7642320,6114489,2000-09-01,"Vicari et al.",A,US,"cited by other",18
002iyn4ldstouitrpoq2xnjmv,6839149,6123362,2000-09-01,"Squilla et al.",A,US,"cited by other",8
002j0acx077vpr9qz5y7toq1w,7646152,6150772,2000-11-01,Crane,A,US,"cited by other",185
